CID,IsomericSMILES,Descriptors,Descriptor Count,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
7130,CC(C)CC1=NC2=CC=CC=C2C=C1,"['animal', 'herbal', 'green', 'earthy']",4,0,1,0,1,0,0,1,1,0,0,0
7136,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,"['green', 'flower', 'earthy', 'fruity', 'aquatic', 'spices']",6,0,0,1,1,1,1,1,0,0,1,0
7137,CC=CC1=CC(=C(C=C1)OC(=O)C)OC,"['flower', 'spices']",2,0,0,0,0,1,0,0,0,0,1,0
7144,CC1=CC(=C(C=C1)O)OC,"['flower', 'savory', 'spices']",3,0,0,0,0,1,0,0,0,1,1,0
7146,CC(C=O)C1=CC=CC=C1,"['flower', 'green', 'earthy', 'fruity', 'aquatic', 'savory']",6,0,0,1,1,1,1,1,0,1,0,0
7147,CCC(C1=CC=CC=C1)O,['flower'],1,0,0,0,0,1,0,0,0,0,0,0
7148,CCC(=O)C1=CC=CC=C1,"['herbal', 'flower', 'fruity']",3,0,0,0,0,1,1,0,1,0,0,0
7149,C1=CC=C(C=C1)C(CO)O,['flower'],1,0,0,0,0,1,0,0,0,0,0,0
7150,COC(=O)C1=CC=CC=C1,"['herbal', 'flower', 'savory', 'fruity']",4,0,0,0,0,1,1,0,1,1,0,0
7151,COC(=O)C1=CN=CC=C1,['herbal'],1,0,0,0,0,0,0,0,1,0,0,0
7165,CCOC(=O)C1=CC=CC=C1,"['herbal', 'flower', 'green', 'animal', 'fruity']",5,0,1,0,0,1,1,1,1,0,0,0
7166,CC(=O)CC(=O)C1=CC=CC=C1,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
7169,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,"['aquatic', 'flower', 'green', 'fruity']",4,0,0,1,0,1,1,1,0,0,0,0
7170,CCOC(=O)CC(=O)C1=CC=CC=C1,"['alcohol', 'savory', 'fruity']",3,1,0,0,0,0,1,0,0,1,0,0
7175,CCCOC(=O)C1=CC=C(C=C1)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
