CID,IsomericSMILES,Descriptors,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
5283318,CC/C=C/CCC=O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
5283321,CC/C=C/C=C/C=O,"['green', 'spices', 'savory']",0,0,0,0,0,0,1,0,1,1,0
5283324,CCCCC/C=C/C=O,"['savory', 'fruity', 'green', 'herbal', 'aquatic']",0,0,1,0,0,1,1,1,1,0,0
5283328,C/C=C/CCCCC=O,"['green', 'aquatic', 'fruity']",0,0,1,0,0,1,1,0,0,0,0
5283329,CCC/C=C/C=C/C=O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
5283335,CCCCCC/C=C/C=O,"['green', 'flower', 'fruity']",0,0,0,0,1,1,1,0,0,0,0
5283337,CCCC/C=C/CCC=O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
5283338,CC/C=C/CCCCC=O,"['green', 'aquatic', 'fruity']",0,0,1,0,0,1,1,0,0,0,0
5283339,CCCC/C=C/C=C/C=O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5283345,CCCCCCC/C=C/C=O,"['flower', 'earthy', 'fruity', 'green', 'savory']",0,0,0,1,1,1,1,0,1,0,0
5283349,CCCCC/C=C/C=C/C=O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5283356,CCCCCCCC/C=C/C=O,"['green', 'aquatic', 'fruity']",0,0,1,0,0,1,1,0,0,0,0
5283357,CCCCCC/C=C/CCC=O,"['flower', 'herbal', 'fruity']",0,0,0,0,1,1,0,1,0,0,0
5283361,CCCCCCCCC/C=C/C=O,"['green', 'herbal', 'aquatic', 'fruity']",0,0,1,0,0,1,1,1,0,0,0
5283363,CCCCCCCCCC/C=C/C=O,"['green', 'aquatic', 'fruity']",0,0,1,0,0,1,1,0,0,0,0
5283366,CCCCCCCCCCC/C=C/C=O,"['flower', 'savory', 'fruity', 'green', 'herbal']",0,0,0,0,1,1,1,1,1,0,0
5283381,CCCCCCCC/C=C/CCCCCCCC=O,['savory'],0,0,0,0,0,0,0,0,1,0,0
5284369,C1=CC=C(C=C1)/C=C/COC(=O)C2=CC=CC=C2N,"['flower', 'animal', 'fruity']",0,1,0,0,1,1,0,0,0,0,0
5284503,CC/C=C/CCO,"['flower', 'savory', 'earthy', 'fruity', 'green', 'herbal', 'aquatic']",0,0,1,1,1,1,1,1,1,0,0
5284507,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,"['green', 'flower', 'fruity']",0,0,0,0,1,1,1,0,0,0,0
5312351,CCCCC/C=C\CCC(=O)O,['green'],0,0,0,0,0,0,1,0,0,0,0
5312887,CCCCCCCCCCC(=O)C(=O)O,['fruity'],0,0,0,0,0,1,0,0,0,0,0
5314044,CC1=C(C(CCC1)(C)C)/C=C/OC(=O)C,"['green', 'earthy']",0,0,0,1,0,0,1,0,0,0,0
5315347,C/C/1=C\CC/C(=C/C2C(C2(C)C)CC1)/C,['green'],0,0,0,0,0,0,1,0,0,0,0
5315468,CC1=CCC(CC1)/C(=C/CC=C(C)C)/C,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
